indicator,severity,description,source_feed,reference,type
raw.githubusercontent.com,HIGH,URLhaus: malware_download (njRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550523/,domain
github.com,HIGH,URLhaus: malware_download (njRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550518/,domain
github.com,HIGH,URLhaus: malware_download (njRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550515/,domain
github.com,HIGH,URLhaus: malware_download (njRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550514/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (QuasarRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550513/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (QuasarRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550507/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (QuasarRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550509/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550503/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (QuasarRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550504/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (AsyncRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550505/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (QuasarRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550506/,domain
github.com,HIGH,URLhaus: malware_download (QuasarRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550494/,domain
github.com,HIGH,URLhaus: malware_download (QuasarRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550492/,domain
github.com,HIGH,URLhaus: malware_download (QuasarRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550493/,domain
github.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550491/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (AsyncRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550463/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (AsyncRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550464/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (AsyncRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550462/,domain
github.com,HIGH,URLhaus: malware_download (AsyncRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550456/,domain
theipgenerators.com,HIGH,"URLhaus: malware_download (rat,RemcosRAT,rev-base64-loader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550453/,domain
barrysploitbucket.s3.us-west-2.amazonaws.com,HIGH,URLhaus: malware_download (Havoc),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550451/,domain
github.com,HIGH,"URLhaus: malware_download (c2-monitor-auto,dropped-by-amadey)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550422/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550163/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550159/,domain
github.com,HIGH,"URLhaus: malware_download (github,mirai)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550160/,domain
