indicator,severity,description,source_feed,reference,type
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556162/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556163/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556164/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556157/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556158/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556159/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556160/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556155/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556156/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556153/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556154/,ip
198.12.83.90,HIGH,"URLhaus: malware_download (encrypted,GuLoader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556150/,ip
185.156.72.2,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556142/,ip
185.156.72.2,HIGH,"URLhaus: malware_download (cybergate,QuasarRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556144/,ip
42.112.26.129,HIGH,"URLhaus: malware_download (elf,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556137/,ip
42.112.26.129,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556139/,ip
42.112.26.129,HIGH,"URLhaus: malware_download (elf,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556140/,ip
107.175.113.210,HIGH,URLhaus: malware_download (RemcosRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556114/,ip
185.156.72.2,HIGH,"URLhaus: malware_download (ArcaneStealer,CoinMiner)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556107/,ip
88.80.150.179,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556096/,ip
88.80.150.179,HIGH,URLhaus: malware_download (mimic),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556093/,ip
88.80.150.179,HIGH,URLhaus: malware_download (mimic),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556094/,ip
85.203.4.56,HIGH,URLhaus: malware_download (njRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556074/,ip
1.12.232.254,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556003/,ip
72.177.84.111,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555991/,ip
109.162.205.8,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555993/,ip
87.110.148.251,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555994/,ip
185.168.174.222,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555995/,ip
90.68.160.149,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555987/,ip
2.66.71.18,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555985/,ip
195.82.147.113,HIGH,"URLhaus: malware_download (Arechclient2,lnk,xml-opendir)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555959/,ip
124.221.27.158,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555958/,ip
47.111.151.151,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555957/,ip
219.151.176.187,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555955/,ip
1.15.15.230,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555956/,ip
185.78.119.211,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555948/,ip
151.235.192.245,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555940/,ip
5.237.245.57,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555941/,ip
185.95.124.42,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555943/,ip
217.24.156.191,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555944/,ip
5.55.115.69,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555947/,ip
62.12.77.205,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555930/,ip
92.40.118.204,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555931/,ip
78.110.74.38,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555932/,ip
78.132.82.98,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555933/,ip
45.95.169.115,HIGH,"URLhaus: malware_download (mirai,sh,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555905/,ip
45.95.169.114,HIGH,"URLhaus: malware_download (gafgyt,sh,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555903/,ip
45.95.169.114,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555904/,ip
62.60.226.191,HIGH,"URLhaus: malware_download (exe,RedLineStealer)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555892/,ip
94.26.90.80,HIGH,URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555893/,ip
77.83.207.69,HIGH,"URLhaus: malware_download (exe,Redosdru)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555881/,ip
77.83.207.69,HIGH,"URLhaus: malware_download (exe,LummaStealer)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555882/,ip
34.41.187.91,HIGH,"URLhaus: malware_download (mirai,sh,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555812/,ip
107.172.132.32,HIGH,"URLhaus: malware_download (hta,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555801/,ip
185.156.72.2,HIGH,"URLhaus: malware_download (ACRStealer,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555797/,ip
196.251.81.110,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555764/,ip
196.251.81.110,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555765/,ip
196.251.81.110,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555748/,ip
103.163.118.122,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555729/,ip
103.163.118.122,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555728/,ip
124.70.219.41,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555726/,ip
121.61.97.95,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555727/,ip
39.107.85.83,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555717/,ip
8.134.128.115,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555718/,ip
47.105.123.6,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555719/,ip
101.43.166.60,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555720/,ip
1.92.135.168,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555721/,ip
113.45.238.149,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555722/,ip
8.138.252.191,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555723/,ip
1.12.62.176,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555724/,ip
154.204.178.10,HIGH,"URLhaus: malware_download (censys,CobaltStrike)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555725/,ip
89.23.113.213,HIGH,"URLhaus: malware_download (lnk,xml-opendir)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555716/,ip
14.175.180.17,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555712/,ip
152.173.214.4,HIGH,"URLhaus: malware_download (backdoor,censys,elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555711/,ip
105.214.84.206,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555706/,ip
171.231.133.184,HIGH,"URLhaus: malware_download (censys,elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555703/,ip
